soil_type,region,water_source,irrigation_source,season,sown,sowing_window,soil_ph,temp,waterrequired,relative_humidity,n,p,k,cropduration,seed_variety
sandy loam,Central Punjab,rainfed,tube well,rabi,Oct,early,7.0,23.5,504.1,57.8,117.1,57.2,51.8,86.0,Subhani-21
sandy loam,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.5,21.1,569.9,53.1,98.2,43.1,59.4,86.3,Sawera-24
loamy,Canal Area,rainfed,tube well,rabi,Dec,late,6.4,21.2,590.8,52.2,116.2,48.4,54.8,81.9,Sawera-24
loamy,Punjab North,irrigated,tube well,rabi,Oct,early,6.9,23.6,525.1,55.7,105.4,43.3,57.6,87.5,Falak-24
loamy,Canal Area,rainfed,canal,rabi,Nov,optimal,7.0,23.9,602.3,60.0,86.7,53.7,54.0,89.6,Dilkash-20
clay loam,Potohar,irrigated,rainfed,rabi,Dec,late,7.0,23.7,500.2,57.6,117.4,40.9,53.9,89.8,Sawera-24
loamy,Canal Area,rainfed,canal,rabi,Oct,early,6.6,22.3,590.0,50.4,86.6,41.4,59.6,80.4,Dilkash-20
sandy loam,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.1,21.9,469.1,50.1,95.6,49.5,57.3,84.2,Subhani-21
loamy,Potohar,rainfed,mixed,rabi,Dec,late,6.5,21.1,542.6,52.0,101.3,49.7,54.2,89.7,Sawera-24
sandy loam,Canal Area,irrigated,mixed,rabi,Oct,early,6.4,22.5,534.8,50.3,85.1,47.8,41.1,82.2,Arooj-22
silt loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.9,21.5,540.8,52.6,88.4,56.9,45.8,81.6,Dilkash-20
clay loam,Central Punjab,irrigated,tube well,rabi,Dec,late,6.4,23.7,555.1,52.5,94.9,60.0,45.3,83.0,Subhani-21
silt loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.9,23.8,486.8,58.8,119.5,52.1,56.7,86.4,Subhani-21
silt loam,Canal Area,irrigated,canal,rabi,Nov,optimal,6.5,21.3,537.3,52.5,118.3,56.1,55.7,83.8,Dilkash-20
sandy loam,Potohar,rainfed,canal,rabi,Dec,late,6.2,21.8,612.6,50.9,89.8,57.9,56.6,85.0,Arooj-22
silt loam,Punjab North,irrigated,tube well,rabi,Oct,early,6.0,22.6,521.2,55.7,82.4,56.5,53.5,80.9,Falak-24
sandy loam,Canal Area,rainfed,canal,rabi,Nov,optimal,6.9,21.3,514.1,55.3,95.3,57.6,56.5,86.2,Dilkash-20
loamy,Central Punjab,irrigated,mixed,rabi,Dec,late,6.3,23.5,552.2,52.2,108.7,50.0,42.7,85.5,Sawera-24
loamy,Central Punjab,rainfed,canal,rabi,Oct,early,6.0,22.4,506.3,56.2,105.8,53.9,48.2,84.4,Dilkash-20
sandy loam,Canal Area,irrigated,tube well,rabi,Nov,optimal,6.3,23.1,624.1,52.5,111.5,47.1,42.0,89.0,Dilkash-20
loamy,Potohar,rainfed,mixed,rabi,Dec,late,6.3,23.2,602.9,53.3,83.6,53.7,55.8,89.3,Sawera-24
clay loam,Central Punjab,irrigated,canal,rabi,Oct,early,6.1,22.2,455.5,51.7,104.7,42.6,48.6,81.8,Falak-24
silt loam,Potohar,rainfed,rainfed,rabi,Nov,optimal,6.2,23.9,650.0,57.8,111.0,58.0,55.3,82.3,Arooj-22
clay loam,Central Punjab,irrigated,mixed,rabi,Dec,late,6.3,21.3,608.6,58.7,93.0,46.6,51.1,87.2,Subhani-21
silt loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.7,22.1,500.9,57.1,87.5,54.5,58.2,81.4,Falak-24
loamy,South Punjab,irrigated,rainfed,rabi,Nov,optimal,6.7,21.5,469.4,53.6,108.5,57.6,54.3,82.7,Dilkash-20
clay loam,Central Punjab,rainfed,rainfed,rabi,Dec,late,6.2,21.8,604.0,54.5,115.1,42.5,40.1,83.8,Subhani-21
loamy,Punjab North,irrigated,mixed,rabi,Oct,early,6.4,21.5,625.4,56.2,86.5,59.4,41.2,85.6,Falak-24
silt loam,Canal Area,rainfed,rainfed,rabi,Nov,optimal,6.2,21.8,513.0,59.4,110.3,51.9,44.8,87.2,Dilkash-20
sandy loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.1,22.7,593.4,53.2,110.2,41.3,59.9,88.4,Sawera-24
sandy loam,Potohar,rainfed,tube well,rabi,Oct,early,6.2,24.0,566.9,52.4,106.4,54.5,48.1,85.1,Arooj-22
clay loam,Central Punjab,irrigated,tube well,rabi,Nov,optimal,6.5,21.9,616.1,59.7,119.0,49.4,49.7,87.9,Subhani-21
loamy,Punjab North,rainfed,mixed,rabi,Dec,late,6.2,23.1,641.8,55.6,117.1,49.9,59.5,82.5,Sawera-24
loamy,Potohar,irrigated,rainfed,rabi,Oct,early,6.1,22.1,543.9,58.7,107.6,41.0,46.9,83.4,Arooj-22
clay loam,South Punjab,rainfed,rainfed,rabi,Nov,optimal,6.2,23.9,639.9,50.2,91.9,46.5,54.1,86.8,Subhani-21
sandy loam,Potohar,irrigated,canal,rabi,Dec,late,6.6,23.3,582.5,58.9,86.6,50.4,51.4,88.0,Sawera-24
silt loam,Potohar,rainfed,canal,rabi,Oct,early,6.1,21.4,641.5,58.8,114.7,57.2,51.9,82.1,Falak-24
clay loam,Central Punjab,irrigated,rainfed,rabi,Nov,optimal,6.8,23.8,615.6,58.7,111.1,53.4,44.7,88.6,Subhani-21
silt loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.8,21.5,456.8,51.2,93.7,59.1,57.5,87.3,Sawera-24
sandy loam,Potohar,irrigated,rainfed,rabi,Oct,early,6.2,23.7,617.0,57.5,100.7,52.4,57.2,88.8,Arooj-22
loamy,Punjab North,rainfed,mixed,rabi,Nov,optimal,6.1,23.7,478.9,59.0,88.7,47.5,57.6,81.3,Subhani-21
sandy loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.1,23.9,563.7,59.5,95.8,53.7,57.7,87.6,Arooj-22
clay loam,Canal Area,rainfed,canal,rabi,Oct,early,6.0,22.3,614.1,56.5,111.6,47.9,53.5,80.3,Dilkash-20
loamy,South Punjab,irrigated,mixed,rabi,Nov,optimal,6.3,23.9,603.4,56.3,107.3,45.1,51.2,84.5,Sawera-24
clay loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.9,22.4,452.1,59.8,89.1,42.9,59.4,89.2,Sawera-24
clay loam,Canal Area,irrigated,canal,rabi,Oct,early,6.5,22.9,612.7,55.9,83.0,54.2,56.4,85.8,Dilkash-20
sandy loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.6,22.2,572.7,52.2,101.2,57.8,51.2,87.2,Arooj-22
clay loam,South Punjab,irrigated,rainfed,rabi,Dec,late,6.2,22.2,570.3,57.3,112.3,41.1,53.0,81.9,Sawera-24
sandy loam,Punjab North,rainfed,rainfed,rabi,Oct,early,7.0,21.6,641.6,56.9,86.1,48.4,48.1,88.7,Arooj-22
loamy,Punjab North,irrigated,rainfed,rabi,Nov,optimal,6.2,22.5,636.2,52.3,101.4,40.3,43.9,89.3,Falak-24
sandy loam,Central Punjab,rainfed,mixed,rabi,Dec,late,6.3,23.8,604.4,51.3,110.9,41.1,50.1,88.8,Sawera-24
loamy,South Punjab,irrigated,canal,rabi,Oct,early,6.4,22.7,488.3,52.0,109.3,51.9,56.8,82.6,Sawera-24
sandy loam,Potohar,rainfed,canal,rabi,Nov,optimal,6.1,23.1,547.5,56.0,109.7,53.9,44.5,88.4,Arooj-22
silt loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.1,24.0,548.4,54.0,85.8,46.8,54.4,87.2,Dilkash-20
silt loam,Canal Area,rainfed,rainfed,rabi,Oct,early,6.1,21.2,504.1,56.0,85.4,45.2,43.9,85.2,Arooj-22
clay loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.8,22.8,559.3,51.0,110.0,49.9,59.2,80.1,Subhani-21
sandy loam,Central Punjab,rainfed,tube well,rabi,Dec,late,6.7,22.0,502.5,56.2,108.0,44.5,46.0,84.6,Subhani-21
sandy loam,Canal Area,irrigated,canal,rabi,Oct,early,6.6,21.4,559.2,51.0,114.6,47.3,42.7,82.7,Dilkash-20
loamy,South Punjab,rainfed,mixed,rabi,Nov,optimal,6.5,23.9,494.2,52.3,96.0,46.5,52.3,84.2,Sawera-24
clay loam,Central Punjab,irrigated,mixed,rabi,Dec,late,6.7,22.5,500.4,54.7,90.5,44.7,42.2,89.9,Subhani-21
sandy loam,South Punjab,rainfed,canal,rabi,Oct,early,6.9,21.7,618.6,59.3,95.8,49.9,53.4,89.4,Sawera-24
clay loam,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.4,22.1,633.9,53.5,80.7,56.8,40.1,81.8,Subhani-21
silt loam,Central Punjab,rainfed,tube well,rabi,Dec,late,6.6,22.7,464.3,52.2,112.1,48.2,53.9,86.9,Subhani-21
sandy loam,Canal Area,irrigated,rainfed,rabi,Oct,early,6.8,21.7,513.3,55.3,114.0,42.1,57.6,80.8,Arooj-22
sandy loam,Central Punjab,rainfed,canal,rabi,Nov,optimal,6.6,23.7,595.4,51.7,97.6,46.4,47.9,89.1,Subhani-21
clay loam,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.0,22.5,480.4,59.8,104.6,50.4,55.9,90.0,Subhani-21
sandy loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.2,22.8,451.1,50.1,110.5,53.8,51.5,82.5,Arooj-22
clay loam,Central Punjab,irrigated,rainfed,rabi,Nov,optimal,6.2,21.6,498.6,53.4,85.5,57.3,56.9,86.2,Subhani-21
sandy loam,South Punjab,rainfed,mixed,rabi,Dec,late,6.5,22.1,504.4,53.0,104.5,49.8,59.4,88.0,Sawera-24
loamy,Punjab North,irrigated,mixed,rabi,Oct,early,6.2,23.8,527.5,58.8,95.6,57.1,58.1,80.8,Falak-24
clay loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.5,23.2,614.5,52.3,116.8,55.4,55.5,84.5,Subhani-21
sandy loam,Central Punjab,irrigated,mixed,rabi,Dec,late,6.3,21.3,493.7,55.7,93.8,40.1,54.5,89.2,Sawera-24
silt loam,Canal Area,rainfed,tube well,rabi,Oct,early,6.1,21.3,564.6,58.6,107.9,58.0,58.7,88.8,Falak-24
sandy loam,Central Punjab,irrigated,tube well,rabi,Nov,optimal,6.4,24.0,593.4,54.5,118.0,46.1,51.8,84.0,Subhani-21
silt loam,Canal Area,rainfed,tube well,rabi,Dec,late,6.6,21.8,601.0,54.7,95.7,50.6,44.9,83.8,Dilkash-20
silt loam,South Punjab,irrigated,canal,rabi,Oct,early,6.5,23.9,576.2,53.9,101.0,52.5,53.6,90.0,Falak-24
loamy,Canal Area,rainfed,canal,rabi,Nov,optimal,6.3,21.4,633.0,55.0,108.5,48.9,53.7,84.8,Dilkash-20
clay loam,Potohar,irrigated,mixed,rabi,Dec,late,6.0,22.8,512.1,57.8,107.5,52.5,48.7,85.2,Sawera-24
sandy loam,Punjab North,rainfed,tube well,rabi,Oct,early,6.6,22.4,485.8,56.2,95.6,45.0,47.1,89.3,Falak-24
loamy,Canal Area,irrigated,canal,rabi,Nov,optimal,6.6,23.9,642.5,58.9,111.8,40.6,44.6,82.8,Dilkash-20
sandy loam,Canal Area,rainfed,tube well,rabi,Dec,late,6.5,21.1,517.8,53.3,88.8,47.3,43.7,82.3,Sawera-24
silt loam,Punjab North,irrigated,rainfed,rabi,Oct,early,6.9,21.3,565.8,59.4,91.3,46.1,59.7,82.6,Falak-24
clay loam,Potohar,rainfed,rainfed,rabi,Nov,optimal,6.7,22.6,489.0,59.6,118.8,56.4,40.0,82.1,Subhani-21
sandy loam,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.1,21.9,450.3,58.0,92.6,57.0,44.9,82.4,Arooj-22
sandy loam,Canal Area,rainfed,mixed,rabi,Oct,early,6.6,21.7,561.7,50.8,81.0,41.6,45.0,87.2,Arooj-22
silt loam,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.9,22.8,587.4,55.0,115.3,55.5,58.6,82.6,Subhani-21
sandy loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.1,21.4,480.4,50.4,110.7,48.4,55.0,84.8,Sawera-24
sandy loam,Punjab North,irrigated,canal,rabi,Oct,early,6.9,22.1,486.1,51.4,98.5,43.9,57.6,84.2,Falak-24
silt loam,South Punjab,rainfed,rainfed,rabi,Nov,optimal,6.6,21.8,509.8,57.0,112.5,44.1,58.6,87.1,Dilkash-20
loamy,Potohar,irrigated,rainfed,rabi,Dec,late,7.0,23.3,520.2,58.8,96.6,45.2,49.0,81.7,Sawera-24
silt loam,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.5,23.6,528.8,57.8,82.0,48.3,53.6,87.1,Subhani-21
loamy,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.4,22.9,537.2,53.7,116.7,55.4,45.0,85.2,Subhani-21
clay loam,Canal Area,rainfed,canal,rabi,Dec,late,6.1,22.1,494.7,55.5,83.9,40.5,55.9,81.4,Sawera-24
loamy,Potohar,irrigated,tube well,rabi,Oct,early,6.4,22.4,462.5,53.5,111.1,51.6,56.7,83.0,Arooj-22
loamy,Punjab North,rainfed,canal,rabi,Nov,optimal,6.1,23.1,519.8,53.9,98.9,43.2,59.1,82.2,Subhani-21
clay loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.1,21.1,649.9,52.9,107.1,57.9,56.6,81.5,Sawera-24
loamy,Punjab North,rainfed,mixed,rabi,Oct,early,6.3,23.4,501.9,56.5,105.9,45.7,53.1,86.0,Falak-24
silt loam,South Punjab,irrigated,mixed,rabi,Nov,optimal,6.9,24.0,621.6,50.9,81.2,41.6,41.1,88.8,Sawera-24
loamy,Punjab North,rainfed,mixed,rabi,Dec,late,6.1,23.1,610.7,57.3,108.1,46.7,46.1,81.8,Sawera-24
clay loam,Punjab North,irrigated,mixed,rabi,Oct,early,6.7,23.5,459.1,58.7,118.0,48.5,57.1,80.4,Subhani-21
silt loam,Punjab North,rainfed,tube well,rabi,Nov,optimal,6.3,22.1,562.0,50.5,90.1,56.8,46.3,85.9,Falak-24
clay loam,Potohar,irrigated,rainfed,rabi,Dec,late,6.6,22.9,555.5,51.9,89.8,52.3,46.5,81.5,Sawera-24
clay loam,Punjab North,rainfed,tube well,rabi,Oct,early,7.0,22.3,634.9,57.2,105.8,48.1,50.7,83.3,Subhani-21
sandy loam,Canal Area,irrigated,canal,rabi,Nov,optimal,6.3,21.7,579.6,52.8,111.0,43.1,57.1,86.4,Dilkash-20
sandy loam,South Punjab,rainfed,mixed,rabi,Dec,late,6.1,21.9,517.1,54.8,96.8,44.5,54.2,87.3,Sawera-24
clay loam,South Punjab,irrigated,mixed,rabi,Oct,early,6.7,21.1,586.4,56.6,90.0,46.0,54.1,88.9,Sawera-24
clay loam,Punjab North,rainfed,canal,rabi,Nov,optimal,6.4,23.8,647.8,57.7,105.5,49.0,52.2,84.4,Subhani-21
clay loam,Potohar,irrigated,tube well,rabi,Dec,late,6.4,22.9,642.3,58.0,109.3,45.0,49.4,88.5,Sawera-24
sandy loam,Potohar,rainfed,rainfed,rabi,Oct,early,6.4,21.0,476.3,51.1,91.8,50.2,56.1,80.7,Arooj-22
sandy loam,Canal Area,irrigated,rainfed,rabi,Nov,optimal,7.0,23.1,632.6,59.9,107.6,52.8,43.5,86.9,Dilkash-20
loamy,Punjab North,rainfed,canal,rabi,Dec,late,6.4,22.3,548.0,54.1,94.8,41.4,45.0,87.3,Falak-24
loamy,South Punjab,irrigated,rainfed,rabi,Oct,early,6.3,22.0,525.8,55.2,113.0,57.8,52.6,85.9,Arooj-22
clay loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.6,22.5,627.2,51.5,82.4,54.2,48.4,85.7,Subhani-21
silt loam,Punjab North,irrigated,tube well,rabi,Dec,late,6.5,23.2,506.9,51.0,85.4,42.0,57.8,86.5,Falak-24
silt loam,Potohar,rainfed,canal,rabi,Oct,early,6.9,23.3,489.6,59.2,117.0,48.0,49.0,83.4,Falak-24
sandy loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.1,21.1,612.7,51.9,94.6,55.9,59.8,88.7,Arooj-22
sandy loam,South Punjab,rainfed,mixed,rabi,Dec,late,6.3,21.4,607.6,52.8,100.4,56.6,55.7,89.1,Sawera-24
sandy loam,Central Punjab,irrigated,canal,rabi,Oct,early,6.1,21.5,599.9,54.6,89.1,41.3,56.9,87.5,Falak-24
clay loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.5,21.4,573.8,57.7,93.8,45.8,45.0,82.1,Dilkash-20
silt loam,Canal Area,irrigated,canal,rabi,Dec,late,6.1,23.2,453.5,53.6,118.3,53.2,44.6,82.8,Sawera-24
loamy,South Punjab,rainfed,rainfed,rabi,Oct,early,6.4,22.0,483.9,55.4,87.0,41.4,49.0,82.8,Arooj-22
clay loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.1,23.3,565.6,54.6,105.2,48.9,57.3,85.5,Subhani-21
loamy,Punjab North,rainfed,mixed,rabi,Dec,late,6.7,21.8,598.8,53.0,108.8,58.1,42.9,83.9,Sawera-24
loamy,Potohar,irrigated,tube well,rabi,Oct,early,6.4,23.2,613.8,58.2,87.6,44.2,55.2,81.1,Falak-24
clay loam,South Punjab,rainfed,canal,rabi,Nov,optimal,6.3,23.0,638.5,51.2,116.6,57.5,50.3,84.2,Sawera-24
loamy,Canal Area,irrigated,canal,rabi,Dec,late,6.5,21.5,495.0,53.2,115.9,47.2,54.8,86.1,Sawera-24
silt loam,Potohar,rainfed,tube well,rabi,Oct,early,6.1,22.0,518.7,56.9,104.5,57.9,41.8,88.0,Falak-24
loamy,Canal Area,irrigated,mixed,rabi,Nov,optimal,6.6,21.0,556.2,58.0,84.2,57.2,49.3,88.8,Dilkash-20
silt loam,Punjab North,rainfed,mixed,rabi,Dec,late,7.0,21.7,452.8,57.4,99.2,41.6,41.0,88.6,Falak-24
silt loam,Canal Area,irrigated,mixed,rabi,Oct,early,6.7,21.1,506.4,58.3,111.4,50.5,44.9,89.3,Dilkash-20
silt loam,Canal Area,rainfed,canal,rabi,Nov,optimal,6.2,23.0,567.0,51.9,81.8,42.9,49.2,81.2,Dilkash-20
sandy loam,Central Punjab,irrigated,tube well,rabi,Dec,late,6.1,22.2,481.4,59.1,95.2,45.4,45.6,83.6,Subhani-21
loamy,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.3,23.6,460.9,52.4,111.7,45.6,48.0,86.2,Subhani-21
clay loam,Central Punjab,irrigated,canal,rabi,Nov,optimal,6.7,22.7,593.9,55.0,106.1,46.3,40.9,81.6,Subhani-21
clay loam,Canal Area,rainfed,mixed,rabi,Dec,late,6.0,22.2,593.7,50.9,92.8,50.9,44.1,85.7,Sawera-24
loamy,South Punjab,irrigated,tube well,rabi,Oct,early,6.3,23.8,560.8,50.4,103.5,51.8,59.6,85.5,Sawera-24
sandy loam,Canal Area,rainfed,mixed,rabi,Nov,optimal,6.9,23.1,476.7,55.1,86.2,42.0,43.7,88.7,Dilkash-20
sandy loam,South Punjab,irrigated,rainfed,rabi,Dec,late,6.2,21.6,495.2,56.7,82.2,42.8,49.4,85.0,Sawera-24
silt loam,South Punjab,rainfed,mixed,rabi,Oct,early,6.0,21.7,489.5,50.4,120.0,58.5,52.4,82.1,Falak-24
loamy,Central Punjab,irrigated,mixed,rabi,Nov,optimal,6.3,23.8,479.1,58.1,91.3,44.5,43.4,86.0,Subhani-21
loamy,Potohar,rainfed,rainfed,rabi,Dec,late,6.8,22.3,581.7,54.9,87.4,52.3,59.5,88.7,Sawera-24
clay loam,Punjab North,irrigated,tube well,rabi,Oct,early,6.0,21.4,498.3,53.5,113.9,43.0,49.9,85.9,Falak-24
loamy,Central Punjab,rainfed,canal,rabi,Nov,optimal,6.8,23.1,501.0,51.4,106.1,42.7,59.5,86.1,Subhani-21
sandy loam,Central Punjab,irrigated,tube well,rabi,Dec,late,6.2,23.7,491.1,59.6,115.2,53.8,57.6,82.7,Subhani-21
loamy,Potohar,rainfed,rainfed,rabi,Oct,early,6.5,23.9,509.1,53.7,115.3,42.9,46.9,85.9,Arooj-22
clay loam,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.9,24.0,466.2,58.3,90.1,59.9,45.1,86.4,Subhani-21
silt loam,Canal Area,rainfed,tube well,rabi,Dec,late,7.0,23.5,637.4,51.9,118.6,42.0,58.4,88.0,Sawera-24
clay loam,Canal Area,irrigated,canal,rabi,Oct,early,6.1,21.1,599.0,57.1,107.9,52.1,59.0,88.8,Falak-24
clay loam,Central Punjab,rainfed,rainfed,rabi,Nov,optimal,6.1,21.3,522.8,58.0,100.3,41.2,59.1,83.0,Subhani-21
silt loam,Punjab North,irrigated,tube well,rabi,Dec,late,6.8,22.9,465.9,59.2,92.1,59.6,45.9,87.0,Subhani-21
clay loam,Central Punjab,rainfed,canal,rabi,Oct,early,6.7,21.6,646.3,59.0,93.4,42.6,42.6,88.5,Subhani-21
clay loam,South Punjab,irrigated,rainfed,rabi,Nov,optimal,6.3,23.8,648.1,54.9,115.7,56.9,42.0,80.3,Subhani-21
loamy,Central Punjab,rainfed,canal,rabi,Dec,late,6.9,23.1,617.8,56.4,103.9,47.0,52.2,83.1,Sawera-24
loamy,Central Punjab,irrigated,rainfed,rabi,Oct,early,6.3,21.8,548.4,57.7,111.1,43.4,47.0,87.0,Arooj-22
silt loam,Canal Area,rainfed,mixed,rabi,Nov,optimal,6.1,22.0,607.1,52.6,91.4,42.3,45.6,83.6,Dilkash-20
loamy,Canal Area,irrigated,tube well,rabi,Dec,late,7.0,23.7,547.2,53.3,117.3,41.6,48.7,85.5,Sawera-24
loamy,Canal Area,rainfed,canal,rabi,Oct,early,6.8,23.7,536.9,59.2,94.8,46.4,55.4,83.9,Dilkash-20
clay loam,South Punjab,irrigated,rainfed,rabi,Nov,optimal,6.1,21.8,648.7,55.7,89.1,46.2,41.6,85.2,Subhani-21
sandy loam,Canal Area,rainfed,canal,rabi,Dec,late,7.0,23.6,551.0,52.1,118.6,57.7,55.6,89.2,Sawera-24
loamy,Punjab North,irrigated,canal,rabi,Oct,early,6.6,23.7,608.8,55.1,98.7,55.9,57.6,80.8,Falak-24
sandy loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.4,23.1,518.8,56.6,108.1,56.3,46.0,85.2,Arooj-22
loamy,Punjab North,irrigated,mixed,rabi,Dec,late,6.0,23.2,512.8,55.8,83.6,47.4,43.0,84.6,Sawera-24
loamy,Punjab North,rainfed,canal,rabi,Oct,early,6.9,21.0,467.0,52.8,87.6,43.1,40.9,88.5,Falak-24
silt loam,Canal Area,irrigated,rainfed,rabi,Nov,optimal,6.6,21.1,649.5,54.8,100.2,50.3,59.5,86.5,Dilkash-20
silt loam,Potohar,rainfed,rainfed,rabi,Dec,late,6.1,22.2,584.5,51.7,96.0,54.5,43.0,80.9,Arooj-22
silt loam,Potohar,irrigated,mixed,rabi,Oct,early,6.1,23.6,624.6,59.8,81.0,49.2,42.1,88.5,Arooj-22
sandy loam,Potohar,rainfed,rainfed,rabi,Nov,optimal,6.0,23.1,647.8,52.8,108.6,58.3,51.2,88.7,Arooj-22
clay loam,South Punjab,irrigated,mixed,rabi,Dec,late,6.9,22.7,647.2,58.0,90.5,57.4,41.9,86.7,Sawera-24
loamy,Canal Area,rainfed,rainfed,rabi,Oct,early,7.0,23.0,574.7,59.1,106.9,43.0,58.7,83.3,Dilkash-20
loamy,Potohar,irrigated,tube well,rabi,Nov,optimal,6.8,22.5,499.2,53.0,89.8,54.8,52.7,87.4,Subhani-21
loamy,South Punjab,rainfed,canal,rabi,Dec,late,6.1,23.3,498.7,53.7,114.6,43.6,54.6,85.9,Sawera-24
sandy loam,Central Punjab,irrigated,tube well,rabi,Oct,early,6.1,22.9,569.0,55.2,81.5,55.2,55.7,85.5,Subhani-21
silt loam,Central Punjab,rainfed,canal,rabi,Nov,optimal,6.2,22.6,583.8,55.3,114.2,43.3,40.6,87.8,Dilkash-20
clay loam,South Punjab,irrigated,canal,rabi,Dec,late,6.6,23.2,480.8,58.3,94.2,43.9,56.9,89.6,Sawera-24
sandy loam,South Punjab,rainfed,canal,rabi,Oct,early,6.8,21.5,636.2,57.4,99.2,49.4,48.8,83.7,Sawera-24
silt loam,Canal Area,irrigated,tube well,rabi,Nov,optimal,7.0,22.5,608.4,58.9,94.3,58.8,51.7,83.9,Dilkash-20
sandy loam,Canal Area,rainfed,canal,rabi,Dec,late,6.4,21.2,513.7,53.5,115.9,41.1,59.1,82.1,Sawera-24
clay loam,Central Punjab,irrigated,tube well,rabi,Oct,early,6.2,22.9,557.4,55.5,87.5,58.5,49.7,85.8,Subhani-21
silt loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.2,22.9,534.8,59.9,80.8,50.9,50.0,85.7,Arooj-22
sandy loam,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.1,22.5,519.6,59.5,116.9,52.3,58.9,89.9,Arooj-22
clay loam,Potohar,rainfed,rainfed,rabi,Oct,early,6.9,21.5,624.7,51.8,118.6,54.4,44.0,87.7,Arooj-22
loamy,Potohar,irrigated,canal,rabi,Nov,optimal,7.0,22.3,610.6,51.7,94.8,55.9,49.5,83.2,Dilkash-20
clay loam,Canal Area,rainfed,tube well,rabi,Dec,late,6.9,21.2,455.6,53.8,84.1,49.8,42.0,88.3,Sawera-24
loamy,Punjab North,irrigated,rainfed,rabi,Oct,early,6.3,23.4,545.5,56.3,119.6,58.8,43.6,87.6,Falak-24
sandy loam,Punjab North,rainfed,tube well,rabi,Nov,optimal,6.6,23.2,454.7,52.0,114.0,57.0,49.4,82.3,Subhani-21
silt loam,South Punjab,irrigated,tube well,rabi,Dec,late,6.9,22.6,584.9,59.0,93.4,52.8,47.5,83.6,Sawera-24
silt loam,Canal Area,rainfed,canal,rabi,Oct,early,6.5,22.3,632.4,50.7,92.8,56.5,41.3,81.7,Dilkash-20
sandy loam,Potohar,irrigated,rainfed,rabi,Nov,optimal,6.1,23.7,646.5,59.9,93.6,42.7,52.3,86.8,Arooj-22
silt loam,Punjab North,rainfed,canal,rabi,Dec,late,6.3,21.1,608.1,58.4,84.2,51.1,59.9,85.6,Falak-24
silt loam,Potohar,irrigated,canal,rabi,Oct,early,7.0,22.2,619.7,59.7,84.6,51.2,59.7,86.0,Falak-24
loamy,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.7,22.6,473.3,55.2,98.9,49.8,57.1,87.0,Subhani-21
sandy loam,Punjab North,irrigated,rainfed,rabi,Dec,late,7.0,22.2,454.2,56.8,108.6,40.9,48.3,83.7,Arooj-22
clay loam,Punjab North,rainfed,mixed,rabi,Oct,early,6.2,21.7,491.4,57.3,82.7,41.8,52.5,84.2,Falak-24
loamy,Canal Area,irrigated,mixed,rabi,Nov,optimal,6.9,23.2,643.6,54.1,87.8,53.8,53.6,88.9,Dilkash-20
sandy loam,Central Punjab,rainfed,tube well,rabi,Dec,late,6.9,22.7,593.4,55.7,105.8,59.2,43.9,86.4,Subhani-21
loamy,Potohar,irrigated,rainfed,rabi,Oct,early,6.7,21.7,536.2,54.7,87.6,56.0,51.0,84.6,Arooj-22
clay loam,Canal Area,rainfed,mixed,rabi,Nov,optimal,6.2,23.7,452.2,59.9,83.6,48.2,48.1,88.5,Subhani-21
clay loam,Canal Area,irrigated,tube well,rabi,Dec,late,7.0,22.2,615.5,51.1,104.0,45.9,43.2,88.2,Subhani-21
sandy loam,Canal Area,rainfed,tube well,rabi,Oct,early,6.5,23.6,570.4,58.7,105.7,54.7,47.3,88.5,Dilkash-20
